vuonna vuon‧na
salin sa‧lin
lehdessä leh‧des‧sä
veden ve‧den
seksi sek‧si
hoitaa hoi‧taa
mene me‧ne
kansa kan‧sa
tila ti‧la
e é
veti ve‧ti
sano sa‧no
kuningatar ku‧nin‧ga‧tar
korko kor‧ko
unta un‧ta
maat maat
huolta huol‧ta
valon va‧lon
termi ter‧mi
syöpää syö‧pää
menen me‧nen
kasan ka‧san
alku al‧ku
uria ù‧ria
takin ta‧kin
median mé‧di‧an
käteen kä‧teen
filosofi fi‧lo‧so‧fi
viisas vii‧sas
vasat va‧sat
u u
tutustumassa tu‧tus‧tu‧mas‧sa
tapan ta‧pan
pysähtyä py‧säh‧ty‧ä
puree pu‧ree
numero nu‧me‧ro
meren me‧ren
laskin las‧kin
lampi lam‧pi
laiska lais‧ka
laiha lai‧ha
ladata la‧da‧ta
käytäntö käy‧tän‧tö
käyttäytyä käyt‧tä‧y‧ty‧ä
kärsiä kär‧si‧ä
kärkiväli kär‧ki‧vä‧li
kylä ky‧lä
kuvitteellinen ku‧vit‧teel‧li‧nen
kuvaus ku‧va‧us
kuvastaa ku‧vas‧taa
kutsua kut‧su‧a
kutsu kut‧su
kurkku kurk‧ku
kuolio kuo‧li‧o
kristitty kris‧tit‧ty
kotimainen ko‧ti‧mai‧nen
koputus ko‧pu‧tus
konsuli kon‧su‧li
kongressi kong‧res‧si
kokonainen ko‧ko‧nai‧nen
kokeilla ko‧keil‧la
kohina ko‧hi‧na
koeaika ko‧e‧ai‧ka
kirjallinen kir‧jal‧li‧nen
kipu ki‧pu
kiitti kiit‧ti
kiinalainen kii‧na‧lai‧nen
kieltää kiel‧tää
kestävä kes‧tä‧vä
keinotekoinen kei‧no‧te‧koi‧nen
kattila kat‧ti‧la
katsoja kat‧so‧ja
katsellen kat‧sel‧len
katsella kat‧sel‧la
kasvot kas‧vot
kannustaa kan‧nus‧taa
kaltainen kal‧tai‧nen
kallis kal‧lis
kalju kal‧ju
kalan ka‧lan
kaksoset kak‧so‧set
järki jär‧ki
juusto juus‧to
jutella ju‧tel‧la
juoma juo‧ma
juoda juo‧da
julkaista jul‧kais‧ta
julistaa ju‧lis‧taa
joutuminen jou‧tu‧mi‧nen
joutua jou‧tu‧a
joki jo‧ki
johtua joh‧tu‧a
johdanto joh‧dan‧to
jatko-opiskelija jat‧ko‧o‧pis‧ke‧li‧ja
iät i‧ät
itsenäinen it‧se‧näi‧nen
itseluottamus it‧se‧luot‧ta‧mus
iltapäivä il‧ta‧päi‧vä
ilmestyä il‧mes‧ty‧ä
ihmetellä ih‧me‧tel‧lä
ihme ih‧me
hävettää hä‧vet‧tää
hypätä hy‧pä‧tä
huvikseen hu‧vik‧seen
huone huo‧ne
hoito hoi‧to
hoitaminen hoi‧ta‧mi‧nen
hiljaisuus hil‧jai‧suus
hiljainen hil‧jai‧nen
herätä he‧rä‧tä
herttua hert‧tu‧a
hengittää hen‧git‧tää
hautajaiset hau‧ta‧jai‧set
harrastaa har‧ras‧taa
harjoittaa har‧joit‧taa
hallita hal‧li‧ta
hakeminen ha‧ke‧mi‧nen
euro eu‧ro
esitellä e‧si‧tel‧lä
esiintyä e‧siin‧ty‧ä
erä e‧rä
ero e‧ro
epävakaa e‧pä‧va‧kaa
ennakkoon en‧nak‧koon
englantilainen eng‧lan‧ti‧lai‧nen
energia e‧ner‧gi‧a
enemmän e‧nem‧män
elänyt e‧lä‧nyt
eläin e‧läin
eilinen ei‧li‧nen
demokratia de‧mo‧kra‧ti‧a
bussi bus‧si
aviomies a‧vi‧o‧mies
asiantuntija a‧si‧an‧tun‧ti‧ja
arvosana ar‧vo‧sa‧na
arvokas ar‧vo‧kas
analysointi a‧na‧ly‧soin‧ti
ammattiliitto am‧mat‧ti‧liit‧to
ammatti am‧mat‧ti
alus a‧lus
allekirjoittaa al‧le‧kir‧joit‧taa
ajatellen a‧ja‧tel‧len
aineisto ai‧neis‧to
aineet ai‧neet
aine ai‧ne
aikamoinen ai‧ka‧moi‧nen
öljy öl‧jy
älä ä‧lä
älykäs ä‧ly‧käs
äijä äi‧jä
yöt yöt
ystävämme ys‧tä‧väm‧me
yrittäjä y‧rit‧tä‧jä
ymmärrettävä ym‧mär‧ret‧tä‧vä
yllättää yl‧lät‧tää
yllyttää yl‧lyt‧tää
ylistys y‧lis‧tys
ylempi y‧lem‧pi
yhdentyminen yh‧den‧ty‧mi‧nen
yhdeksäs yh‧dek‧säs
vääntää vään‧tää
väsymys vä‧sy‧mys
värkätä vär‧kä‧tä
väristä vä‧ris‧tä
välittämättä vä‧lit‧tä‧mät‧tä
väistää väis‧tää
vähemmistö vä‧hem‧mis‧tö
voima voi‧ma
virta vir‧ta
virka vir‧ka
vire vi‧re
vilja vil‧ja
viikset viik‧set
vierittää vie‧rit‧tää
video vi‧de‧o
veturinkuljettaja ve‧tu‧rin‧kul‧jet‧ta‧ja
veturi ve‧tu‧ri
veri ve‧ri
veres ve‧res
velvollisuus vel‧vol‧li‧suus
vastustaa vas‧tus‧taa
vastineeksi vas‧ti‧neek‧si
vastattava vas‧tat‧ta‧va
varattu va‧rat‧tu
vannoi van‧noi
vankka vank‧ka
vankeus van‧ke‧us
valmistautua val‧mis‧ta‧u‧tu‧a
valloittaa val‧loit‧taa
valkokangas val‧ko‧kan‧gas
valitus va‧li‧tus
valittaa va‧lit‧taa
vakuutusyhtiö va‧kuu‧tus‧yh‧ti‧ö
vakaa va‧kaa
vahtimestari vah‧ti‧mes‧ta‧ri
vaate vaa‧te
vaalea vaa‧le‧a
uudistaa uu‧dis‧taa
urakehitys u‧ra‧ke‧hi‧tys
unohtua u‧noh‧tu‧a
unissaan u‧nis‧saan
unelma u‧nel‧ma
ukko uk‧ko
uimari ui‧ma‧ri
törkeä tör‧ke‧ä
täysi täy‧si
työura työ‧u‧ra
työntää työn‧tää
tyypillinen tyy‧pil‧li‧nen
tyyli tyy‧li
tuska tus‧ka
turkkilainen turk‧ki‧lai‧nen
tuota tuo‧ta
tuomittava tuo‧mit‧ta‧va
tuomio tuo‧mi‧o
tuollainen tuol‧lai‧nen
tuoksua tuok‧su‧a
tunnistettava tun‧nis‧tet‧ta‧va
tummanharmaa tum‧man‧har‧maa
tulva tul‧va
tulo tu‧lo
tulkitaan tul‧ki‧taan
tulivuori tu‧li‧vuo‧ri
tukityö tu‧ki‧työ
tuijottaa tui‧jot‧taa
tottua tot‧tu‧a
tosi to‧si
torjua tor‧ju‧a
toppi top‧pi
tolvana tol‧va‧na
toimitus toi‧mi‧tus
toimittaminen toi‧mit‧ta‧mi‧nen
toimenpide toi‧men‧pi‧de
tieteellinen tie‧teel‧li‧nen
tiet tiet
tiellä tiel‧lä
tiede tie‧de
testata tes‧ta‧ta
terävä te‧rä‧vä
terveys ter‧ve‧ys
terveisiä ter‧vei‧si‧ä
teoreettinen te‧o‧reet‧ti‧nen
teltta telt‧ta
televisiokanava te‧le‧vi‧si‧o‧ka‧na‧va
teko te‧ko
tekevä te‧ke‧vä
tekemän te‧ke‧män
tehtäessä teh‧tä‧es‧sä
teemavuosi tee‧ma‧vuo‧si
tavoittelee ta‧voit‧te‧lee
tavata ta‧va‧ta
tavallinen ta‧val‧li‧nen
tausta taus‧ta
tauko tau‧ko
tasapaino ta‧sa‧pai‧no
tarpeeton tar‧pee‧ton
tarkkuus tark‧kuus
tarkastelu tar‧kas‧te‧lu
tarjoilija tar‧joi‧li‧ja
tappaminen tap‧pa‧mi‧nen
tapaaminen ta‧paa‧mi‧nen
talousjärjestelmä ta‧lo‧us‧jär‧jes‧tel‧mä
taloudenpito ta‧lo‧u‧den‧pi‧to
takuu ta‧kuu
taksin tak‧sin
taivutus tai‧vu‧tus
taistelu tais‧te‧lu
taikina tai‧ki‧na
taho ta‧ho
tae ta‧e
säästää sääs‧tää
sää sää
sähkö säh‧kö
syyte syy‧te
syyskuu syys‧kuu
syvä sy‧vä
syvyys sy‧vyys
syrjiminen syr‧ji‧mi‧nen
synnyttää syn‧nyt‧tää
suunnitelma suun‧ni‧tel‧ma
suorittaminen suo‧rit‧ta‧mi‧nen
suola suo‧la
suojata suo‧ja‧ta
suojaa suo‧jaa
suli su‧li
sulautuminen su‧la‧u‧tu‧mi‧nen
sulaa su‧laa
sukkahousut suk‧ka‧hou‧sut
sukellusvene su‧kel‧lus‧ve‧ne
stressi stres‧si
sovittaa so‧vit‧taa
sotku sot‧ku
sotilas so‧ti‧las
sormi sor‧mi
sopu so‧pu
sopimaton so‧pi‧ma‧ton
sohva soh‧va
sitoi si‧toi
sisko sis‧ko
sillan sil‧lan
sikiö si‧ki‧ö
sijoittuminen si‧joit‧tu‧mi‧nen
siisti siis‧ti
siirtyminen siir‧ty‧mi‧nen
siipi sii‧pi
sienisalaatti sie‧ni‧sa‧laat‧ti
seuranta seu‧ran‧ta
seurailla seu‧rail‧la
seuduilla seu‧duil‧la
sekoittaa se‧koit‧taa
sekalainen se‧ka‧lai‧nen
seitsemäs seit‧se‧mäs
seistä seis‧tä
sanomalehti sa‧no‧ma‧leh‧ti
salaliitto sa‧la‧liit‧to
saavuttaminen saa‧vut‧ta‧mi‧nen
saari saa‧ri
saapuville saa‧pu‧vil‧le
saanto saan‧to
räpytellä rä‧py‧tel‧lä
rysähtää ry‧säh‧tää
ryssä rys‧sä
ruumis ruu‧mis
ruuhka ruuh‧ka
ruokkia ruok‧ki‧a
romantiikka ro‧man‧tiik‧ka
rinta rin‧ta
rinnalla rin‧nal‧la
rikki rik‧ki
riittämätön riit‧tä‧mä‧tön
riisua rii‧su‧a
reipas rei‧pas
ravintola ra‧vin‧to‧la
rauhanpalkinto rau‧han‧pal‧kin‧to
rauhallinen rau‧hal‧li‧nen
rauha rau‧ha
rasva ras‧va
raskas ras‧kas
rakastella ra‧kas‧tel‧la
rakastaa ra‧kas‧taa
rajallinen ra‧jal‧li‧nen
raita rai‧ta
radan ra‧dan
pöytä pöy‧tä
pääsyy pää‧syy
päästää pääs‧tää
päämäärä pää‧mää‧rä
päiväkirja päi‧vä‧kir‧ja
pyörä pyö‧rä
puulämmitteinen puu‧läm‧mit‧tei‧nen
puu puu
putki put‧ki
purjo pur‧jo
puri pu‧ri
puolivahingossa puo‧li‧va‧hin‧gos‧sa
puoliso puo‧li‧so
punertava pu‧ner‧ta‧va
puku pu‧ku
puhelu pu‧he‧lu
puhe pu‧he
psykologi psy‧ko‧lo‧gi
prototyyppi pro‧to‧tyyp‧pi
projekti pro‧jek‧ti
poroerotus po‧ro‧e‧ro‧tus
pomppia pomp‧pi‧a
polttaa polt‧taa
polkupyörä pol‧ku‧pyö‧rä
poistua pois‧tu‧a
poikaystävä poi‧ka‧ys‧tä‧vä
pitkittää pit‧kit‧tää
pisara pi‧sa‧ra
piristä pi‧ris‧tä
pinniä pin‧ni‧ä
pimeä pi‧me‧ä
pilvi pil‧vi
piirtää piir‧tää
pihvi pih‧vi
pidättää pi‧dät‧tää
pidempi pi‧dem‧pi
perävaunullinen pe‧rä‧vau‧nul‧li‧nen
perustuslaki pe‧rus‧tus‧la‧ki
perse per‧se
periä pe‧ri‧ä
perinne pe‧rin‧ne
peili pei‧li
pastori pas‧to‧ri
pasta pas‧ta
passi pas‧si
pari pa‧ri
paprika pa‧pri‧ka
paniikki pa‧niik‧ki
pane pà‧ne
pakollinen pa‧kol‧li‧nen
paketti pa‧ket‧ti
pakata pa‧ka‧ta
paisti pais‧ti
paikoiltaan pai‧koil‧taan
paikallaan pai‧kal‧laan
paeta pa‧e‧ta
otsa ot‧sa
osto os‧to
ostaja os‧ta‧ja
oppilas op‧pi‧las
oppiaine op‧pi‧ai‧ne
opas o‧pas
onneton on‧ne‧ton
